name,id_original
John Lasseter,862
Ash Brannon,862
William Reeves,862
Rich Quade,862
Joe Johnston,8844
Thomas E. Ackerman,8844
Howard Deutch,15602
Forest Whitaker,31357
Elliot Davis,11862
Charles Shyer,11862
Michael Mann,949
Dante Spinotti,949
Dianne Wager,949
Michael Waxman,949
Sydney Pollack,11860
Giuseppe Rotunno,11860
Peter Hewitt,45325
Peter Hyams,9091
Peter Hyams,9091
Martin Campbell,710
Phil Meheux,710
Michael Boone,710
Steven Lawrence,710
Neil Lamont,710
John Seale,9087
Rob Reiner,9087
Mel Brooks,12110
Michael D. O'Shea,12110
Simon Wells,21032
Oliver Stone,10858
Robert Richardson,10858
Peter Levy,1408
Renny Harlin,1408
Martin Scorsese,524
Robert Richardson,524
Ang Lee,4584
Michael Coulter,4584
Allison Anders,5
Alexandre Rockwell,5
Robert Rodriguez,5
Quentin Tarantino,5
Rodrigo García,5
Guillermo Navarro,5
Phil Parmet,5
Andrzej Sekula,5
Douglas Aarniokoski,5
Fernando Altschul,5
Steve Oedekerk,9273
Donald E. Thorin,9273
Joseph Ruben,11517
John Lindley,11517
Barry Sonnenfeld,8012
Donald Peterman,8012
Jon Amiel,1710
László Kovács,1710
Richard Donner,9691
Vilmos Zsigmond,9691
Daniel T. Dorrance,9691
Victor Salva,12665
Jerzy Zielinski,12665
Mike Figgis,451
Declan Quinn,451
Oliver Parker,16420
Lesli Linka Glatter,9263
Ueli Steiger,9263
Roger Michell,17015
John Daly,17015
Jean-Pierre Jeunet,902
Darius Khondji,902
Marc Caro,902
Zhang Yimou,37557
Lü Yue,37557
Pierre Letarte,9909
John N. Smith,9909
Terry Gilliam,63
Roger Pratt,63
Tim Galvin,63
Kevin Ishioka,63
Robert LaPrell,63
Mark Egerton,63
Andrew Bernstein,63
Jean-Jacques Annaud,78802
Robert Fraisse,78802
Andrew Lesnie,9598
Chris Noonan,9598
Christopher Hampton,47018
Denis Lenoir,47018
Andy Semple,47018
Roger Deakins,687
Tim Robbins,687
Allan F. Nicholls,687
Sam Hoffman,687
David Stein,687
Stephen Low,139405
Andrew Kitzanuk,139405
Andy Tennant,33689
Amy Heckerling,9603
Bill Pope,9603
Darrell James Roodt,34615
Richard Loncraine,31174
Lisa Rinzler,11443
Albert Hughes,11443
Allen Hughes,11443
Michael Hoffman,35196
Paul W.S. Anderson,9312
John R. Leonetti,9312
Gus Van Sant,577
Eric Alan Edwards,577
Jocelyn Moorhouse,11861
Janusz Kamiński,11861
Darius Khondji,807
David Fincher,807
Barry Chusid,807
Mike Gabriel,10530
Eric Goldberg,10530
Andreas Deja,10530
Patricia Rozema,8391
Douglas Koch,8391
Bryan Singer,629
Newton Thomas Sigel,629
Richard W. Munchkin,117164
Woody Allen,11448
Carlo Di Palma,11448
Gianni Amelio,49133
Holly Goldberg Sloan,26441
Ulu Grosbard,97406
Robert Tinnell,124057
Jodie Foster,9089
Lajos Koltai,9089
Michael Radford,11010
Franco Di Giacomo,11010
Robert Lepage,99040
Frank Oz,11359
Russell Carpenter,11359
John Schlesinger,17182
Amir Mokri,17182
Stephen Herek,2054
Oliver Wood,2054
Jeffrey Wetzel,2054
Paris Barclay,10607
Russ Brandt,10607
Bill Bennett,19760
Phedon Papamichael,9536
Jason Bloom,9536
Farhad Mann,11525
Ward Russell,11525
James Foley,40628
Josiane Balasko,4482
Gérard de Battista,4482
F. Gary Gray,10634
Robert Rodriguez,755
Guillermo Navarro,755
